source,target,weight
0,2,1
0,5,1
0,11,1
1,6,1
1,7,1
1,9,1
2,0,1
2,1,1
2,5,1
2,6,1
2,11,1
3,7,1
3,9,1
3,17,1
3,22,1
4,13,1
4,15,1
4,24,1
5,2,1
5,10,1
5,11,1
5,14,1
5,20,1
6,1,1
6,2,1
6,9,1
6,11,1
7,3,1
7,9,1
7,17,1
7,22,1
8,0,1
8,1,1
8,2,1
8,5,1
8,6,1
8,7,1
8,10,1
8,11,1
8,14,1
8,23,1
9,1,1
9,7,1
9,14,1
9,22,1
10,16,1
10,20,1
11,0,1
11,1,1
11,2,1
11,5,1
11,6,1
11,7,1
11,9,1
11,21,1
12,3,1
12,17,1
12,22,1
12,25,1
13,3,1
13,4,1
13,17,1
13,22,1
13,24,1
15,24,1
16,21,1
17,1,1
17,3,1
17,6,1
17,7,1
17,9,1
17,12,1
17,22,1
18,19,1
18,21,1
19,18,1
19,21,1
20,10,1
21,16,1
21,18,1
21,19,1
22,3,1
22,7,1
22,9,1
22,17,1
23,1,1
23,5,1
23,8,1
24,13,1
24,15,1
25,12,1
